,pid,guid,creationTime,days,content,nickname,productColor,referenceId,referenceName,referenceTime,score,userClient,userLevelId,userLevelName,userProvince,userRegisterTime,版本,颜色
0,5089225,33e6aa50-9080-42f1-80d7-311af2e68c07,2017-10-09 22:13:48,1,一直是苹果的忠实粉丝，9.23抢了个8p土豪金的，双玻璃手感很不错，今天给媳妇买了个8白色的，你还别说，白色的真的很好看，用了半个月的经验总结一下。1.缺点就是电量消耗太快，这是苹果的通用缺点。，11.0系统更新，设置的自动亮度调节没用了，设置亮度自动要去辅助功能哪里去设置一下就可以了，很多伙伴不知道，我研究好几天。问客户才知道的问题，买苹果八要配手机套子，不然一不小心丢地下玻璃会碎很心疼的。2.优点就是系统吧，相对于10.几的系统11.0系统运行速度比之前的快多了，如果用7的，建议不要升级，升级后毛病太多，就像6-6s适合9.0几的系统，7-7p10.0多的系统，8-8p用11系统，都是相对的，升级后虽然可以用，但是毛病太多，我之前6sp系统9.3一直用，电很经用，7p10.0不升级也很耐用，这个8也不准备升级。,清风如梦如幻,银色,5089269,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-10-08 21:16:43,5,2,105,PLUS会员,,,64gb,银色
1,5089225,a9272c51-79b2-4e20-96e1-277857f4c3be,2017-10-27 00:49:54,2,手机还可以，非常完美，没有任何瑕疵，拿来亲自激活的，官网上查，正品，，，，拿来没搞懂这些功能，起码搞了两个小时才玩懂,j***黎,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-10-25 10:08:19,5,2,62,金牌会员,,,64gb,金色
2,5089225,0f230cd4-7232-4fed-b818-7bf5d26b6c22,2017-09-23 09:50:50,1,多年以后的又一台苹果，心情虽然没有那么激动了，但是这良心产品够用3年，值得。,张***l,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-09-22 22:08:41,5,4,105,钻石会员,,,64gb,金色
3,5089225,519f351f-d097-45ac-b91f-fd0e20961769,2017-10-26 12:04:33,1,从来没用过ｉｏｓ的手机，这是第一次用，反应真的好快啊！不愧iphone最新手机，卖家服务特别好是我见过最好的服务，谁说苹果不行啦？我看特完美！！！而且搞活动，实付款才5038快大洋&hellip;&hellip;好了总之心里美滋滋的，废话不多说啦，总之，要祝福卖家生意兴隆，财源广进，生意红红火火，最后我也要祝福iPhone重回当年的风范......!!!,j***d,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-10-25 14:36:16,5,4,61,银牌会员,,,64gb,金色
4,5089225,94a659d2-eba9-4f3c-b95b-ddf3fdf6632e,2017-10-10 13:30:14,4,说实话苹果8真没得什么亮点，正面一直没有什么大的变化，基本没有什么新功能，我表示苹果已经黔驴技穷了。本人对手机要求不高，所以还能将就着用。另外不得不夸下京东的品质，物流，电器一直在京东买。,j***y,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-10-06 10:47:44,5,2,105,PLUS会员,,,64gb,金色
5,5089225,3611674a-2d33-4aae-8f3b-5f65ef1f0185,2017-09-22 15:34:00,0,我也来抢先评价一下，哈哈占个前排。等了一年终于等到你，手机送给老婆的，她一定很喜欢。,-***-,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-09-22 08:01:20,5,4,62,金牌会员,,,64gb,金色
6,5089225,860502a7-c35d-4c66-bc86-f253a822d3bb,2017-10-07 16:14:41,1,我本来用的是5s 用了一年又出了6我觉得小  那时候国产手机崛起了  我买了部3488的华为p9 用的还行   用了半年苹果8又出了又怀念苹果 虽然說一个月有5300的工资  一下子换好几部手机也心痛啊   有固定工作  固定工资为什么不分期呢，哈哈哈   说一下手机   很满意，内存够用了   手机性价比高   超喜欢   速度快的很,诗韵i,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-10-06 13:41:40,5,4,62,PLUS会员,,,64gb,金色
7,5089225,5deabb70-1fe5-4046-9aa3-3baff1bafb16,2017-10-01 16:31:50,1,快递一直相信京东，手机正品行货，很好,j***w,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-09-30 17:45:31,5,2,105,钻石会员,,,64gb,金色
8,5089225,0c6c3c77-2ccd-4550-84cb-112aa289da52,2017-10-04 07:58:38,2,快如闪电，苹果入门机第一次买了iPhone 8  比我身边的朋友先进多了，哈哈，以前用的安卓旗舰机时间久了老是卡，听小伙伴说iPhone 的系统不错，可以买台iPhone 6S 我觉得好几年了，肯定是库存机或者是翻新机，所以买新不买旧，10月2号京东拍了八,j***斯,银色,5089269,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-10-02 14:23:30,5,4,105,钻石会员,,,64gb,银色
9,5089225,251b46e7-bc74-4a03-975a-b73d0e595e97,2017-09-30 12:11:19,2,先前用的三星S6+    用了两年多了，没有出现过问题，最近好像感觉比以前慢了那么一点都说苹果系统不卡，所以第一次买苹果，自我感觉苹果就是卖系统的，其它真的是不敢恭维，尤其是屏幕，差三星旗舰机太多了，还有声音真的很小，还有就自拍镜像无法调，键盘拨号音无法关闭，另外说说京东物流，包装真的是垃 圾，话不多说，大家看图，总的来说，我就是为了买苹果的系统而买苹果，如果安卓系统不卡的话，我不会选择买苹果手机，个人观点，不喜勿喷，谢谢,醉酒狂舞三千年,金色,5089225,Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,2017-09-28 12:51:09,5,4,105,钻石会员,,,64gb,金色
